,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
24,22.07106,0.0,86.17183003899802,0,0.10414864948850086,0.10417543746864238,-0.0019038936244785095,0.1062695429754796,0,0,0,0,0,2697,radost
25,25.18098,0.0,86.28819608034881,0,0.1039830895969184,0.10401583856579677,-0.002065752540220099,0.1062725823581415,0,0,0,0,0,2698,radost
26,28.97095,0.0,86.40927867001201,0,0.1038451294630508,0.10388226513194308,-0.002201595728834968,0.10627563229378945,0,0,0,0,0,2699,radost
27,32.73354,0.0,86.53452757549209,0,0.10374026082790798,0.1037773650887583,-0.0023087752882445297,0.10627869278880779,0,0,0,0,0,2700,radost
28,35.80989,0.0,86.66338717620827,0,0.10367200198734938,0.10370277489285394,-0.0023856547801657775,0.10628176384819961,0,0,0,0,0,2701,radost
29,37.82982,0.0,86.79529593174342,0,0.10363822916126465,0.10365911712248661,-0.002431611643338805,0.10628484547552439,0,0,0,0,0,2702,radost
30,38.836,0.0,86.92968591842005,0,0.10363581674084693,0.10364603732386456,-0.00244700034717589,0.1062879376728532,1,0,0,0,0,2703,radost
31,39.21544,0.0,87.065982436053,0,0.10366163911728939,0.10366227664826229,-0.002433079754620099,0.10629104044074145,0,0,0,0,0,2704,radost
32,39.56339,0.0,87.20360368697554,0,0.1037125706817852,0.10370577516684777,-0.0023919098073087552,0.1062941537782191,0,0,0,0,0,2705,radost
33,40.44742,0.0,87.34196052964711,0,0.10378548582552752,0.10377379955972248,-0.002326223836540908,0.10629727768279774,0,0,0,0,0,2706,radost
34,42.12048,0.0,87.48045630932484,0,0.10387725893970953,0.10386308821498538,-0.002239283464236391,0.1063004121504932,0,0,0,0,0,2707,radost
35,44.48431,0.0,87.61848676841431,0,0.10398476441552439,0.10397000662144437,-0.002134723210261749,0.10630355717586232,0,0,0,0,0,2708,radost
36,47.15408,0.7868652752321987,87.75544003920594,0,0.10410487664416515,0.10409070620567742,-0.0020163916554183114,0.10630671275205193,0,0,0,0,0,2709,radost
37,49.56227,3.9123717476947326,87.89069672174801,0,0.10423447001682518,0.10422128032940056,-0.0018881954441339777,0.10630987887085798,0,0,0,0,0,2710,radost
38,51.24501,6.291064832731146,88.02363004960407,0,0.10437041892469752,0.10435791190443057,-0.001753951669567987,0.1063130555227926,0,0,0,0,0,2711,radost
39,52.06885,7.960211476734499,88.15360614618618,0,0.10450959775897534,0.10449700789898518,-0.0016172533673840988,0.10631624269715712,0,0,0,0,0,2712,radost
40,52.50722,9.637597633881645,88.27998437424549,0,0.10464888091085185,0.10463531683383533,-0.0014813520196752326,0.10631944038211834,0,0,0,0,0,2713,radost
41,53.77928,12.725553850238521,88.40211778093389,0,0.10478514277152011,0.10477002617122584,-0.0013490601661212127,0.10632264856478664,0,0,0,0,0,2714,radost
42,57.79605,19.043398837351116,88.51935364062068,0,0.1049152577321734,0.10489883728833356,-0.001222676430608778,0.10632586723129352,0,0,0,0,0,2715,radost
43,66.6313,30.330368876878698,88.6310340973584,0,0.10503610024239861,0.10502001652622583,-0.0011039344723491192,0.10632909636686733,0,0,0,0,0,2716,radost
44,81.85985,47.67190630772768,88.73649690853429,0,0.10514540911899485,0.10513242164267189,-0.0009939765331395036,0.10633233595590567,0,0,0,0,0,2717,radost
45,103.7977,71.06733259576238,88.83507629082197,0,0.10524396795738258,0.10523550387988484,-0.0008933513696897911,0.10633558598204358,0,0,0,0,0,2718,radost
46,131.1969,99.32907174598785,88.9261038690576,0,0.10533323043338891,0.10532928675487602,-0.0008020354633318544,0.10633884642821667,0,0,0,0,0,2719,radost
47,161.5052,130.37625834189038,89.00890972810767,0,0.10541465022284109,0.10541432352067649,-0.0007194755588564607,0.10634211727671919,0,0,0,0,0,2720,radost
48,191.6415,161.808189803201,89.0828235671717,0,0.10548968100156632,0.10549163594736098,-0.000644649883542502,0.10634539850925667,0,0,0,0,0,2721,radost
49,218.9867,191.50367040250367,89.14717595527384,0,0.10555977644539173,0.10556263757065311,-0.0005761448986000472,0.10634869010699378,0,0,0,0,0,2722,radost
50,242.066,217.97240687065442,89.20129968594722,0,0.10562639023014456,0.10562904483642992,-0.0005122441547096198,0.10635199205059766,0,0,0,0,0,2723,radost
51,260.5823,240.30977302962145,89.24453122830505,0,0.1056909760316519,0.10569277966040903,-0.0004510257323752872,0.10635530432027769,0,0,0,0,0,2724,radost
52,274.7213,257.82161163423103,89.27621227083097,0,0.10575498752574107,0.10575586688074376,-0.0003904647893672803,0.10635862689582279,0,0,0,0,0,2725,radost
53,284.1769,269.57700689223697,89.29569135331253,0,0.10581987838823922,0.10582032997172686,-0.00032853784705430967,0.10636195975663697,0,0,0,0,0,2726,radost
54,287.5837,274.2016346663193,89.30232558139535,1,0.1058871022949735,0.10588808826386825,-0.00026332557036158805,0.10636530288177468,0,0,0,0,0,2727,radost
55,282.6573,270.0999205115068,89.2712733204094,0,0.10595811292177112,0.10596085881180246,-0.00019311089989997097,0.10636865624997681,0,0,0,0,0,2728,radost
56,267.2113,256.0505648327918,89.17957120305056,0,0.10603436394445924,0.10604006597124487,-0.00011646947504795297,0.10637201983970863,0,0,0,0,0,2729,radost
57,240.4117,231.89105677741406,89.02957368135128,0,0.1061173090388651,0.1061267616659022,-3.2349367082423145e-05,0.10637539362920054,0,0,0,0,0,2730,radost
58,203.5472,198.9255813625738,88.82384094418276,0,0.10620840188081587,0.10622155919908068,5.986273238465134e-05,0.10637877759649232,0,0,0,0,0,2731,radost
59,159.9832,159.81031584402285,88.56510816148399,0,0.10630909614613873,0.1063245832365058,0.0001602914941770599,0.10638217171948175,0,0,0,0,0,2732,radost
60,114.0825,117.92979462890065,88.25625460673099,0,0.10642021200742276,0.1064354382066846,0.00026854135186298055,0.10638557597597766,0,0,0,0,0,2733,radost
61,69.79018,76.5360322200461,87.90027318114737,0,0.10653981096550097,0.10655319680915772,0.00038368500994898417,0.10638899034375769,0,0,0,0,0,2734,radost
62,29.55063,38.03645092779501,87.50024080825548,0,0.10666520379696663,0.10667640960724628,0.0005042730365640853,0.10639241480063047,0,0,0,0,0,2735,radost
63,-5.973701,3.7265585935615793,87.05929010509617,0,0.10679370126275965,0.10680313587073147,0.0006283647060730901,0.10639584932450147,0,0,0,0,0,2736,radost
